Iteration,Host,IP Source,IP Destination,Source Port,Destination Port,Is,Number,Timestamp (seconds-Unix Epoch),Nº pkt out of order,Out of order packets,DSCP,Avg Jitter (Nanoseconds)
5,h1,10.0.1.1,10.0.5.1,56754,443,sender,3000,1746275257.1358,,,0,
5,h1,10.0.1.1,10.0.2.2,49989,443,sender,3000,1746275257.163431,,,0,
5,h4,10.0.1.2,10.0.2.2,55524,443,sender,30000,1746275257.138459,,,10,
5,h2,10.0.2.2,10.0.1.1,56117,443,sender,15000,1746275257.155874,,,51,
5,h3,10.0.5.1,10.0.1.2,50327,443,sender,15000,1746275257.136388,,,2,
5,h3,10.0.1.1,10.0.5.1,56754,443,receiver,2968,1746275257.174276,0,[],0,32145188.985809077
5,h3,10.0.2.2,239.1.1.1,56117,443,receiver,8771,1746275257.1832836,0,[],51,34193382.33820758
5,h4,10.0.5.1,10.0.1.2,50327,443,receiver,8777,1746275257.1770947,0,[],2,34182172.54578704
5,h4,10.0.2.2,239.1.1.1,56117,443,receiver,8763,1746275257.1853678,0,[],51,34224360.55208776
5,h1,10.0.2.2,239.1.1.1,56117,443,receiver,8773,1746275257.1848693,0,[],51,34185301.3294636
5,h2,10.0.1.1,10.0.2.2,49989,443,receiver,2964,1746275257.1743362,0,[],0,32371844.035572063
5,h2,10.0.1.2,10.0.2.2,55524,443,receiver,8828,1746275257.1833987,0,[],10,33977116.45600809
5,h2,10.0.2.2,239.1.1.1,56117,443,receiver,8780,1746275257.1846662,0,[],51,34158084.95736618
6,h1,10.0.1.1,10.0.5.1,56754,443,sender,3000,1746275603.221515,,,0,
6,h1,10.0.1.1,10.0.2.2,49989,443,sender,3000,1746275603.221127,,,0,
6,h2,10.0.2.2,10.0.1.1,56117,443,sender,15000,1746275603.209162,,,51,
6,h4,10.0.1.2,10.0.2.2,55524,443,sender,30000,1746275603.206997,,,10,
6,h3,10.0.5.1,10.0.1.2,50327,443,sender,15000,1746275603.209913,,,2,
6,h4,10.0.5.1,10.0.1.2,50327,443,receiver,8743,1746275603.2316723,0,[],2,34311498.64174959
6,h4,10.0.2.2,239.1.1.1,56117,443,receiver,8864,1746275603.243383,0,[],51,33841122.11663793
6,h3,10.0.2.2,239.1.1.1,56117,443,receiver,8861,1746275603.2433627,0,[],51,33852623.219603576
6,h3,10.0.1.1,10.0.5.1,56754,443,receiver,2970,1746275603.2450387,0,[],0,30321133.49798954
6,h2,10.0.1.1,10.0.2.2,49989,443,receiver,2974,1746275603.2394872,0,[],0,30717245.10705944
6,h2,10.0.1.2,10.0.2.2,55524,443,receiver,8800,1746275603.2397952,0,[],10,34089257.90678378
6,h2,10.0.2.2,239.1.1.1,56117,443,receiver,8864,1746275603.2434218,0,[],51,33841038.38502285
