Iteration,Host,IP Source,IP Destination,Source Port,Destination Port,Is,Number,Timestamp (seconds-Unix Epoch),Nº pkt out of order,Out of order packets,DSCP,Avg Jitter (Nanoseconds)
5,h1,10.0.1.1,10.0.2.2,57978,443,sender,1500,1741296158.757744,,,0,
5,h4,10.0.1.2,10.0.2.2,60169,443,sender,1500,1741296158.748751,,,10,
5,h1,10.0.1.1,10.0.5.1,50590,443,sender,1500,1741296158.73158,,,0,
5,h2,10.0.2.2,10.0.1.1,55081,443,sender,2970,1741296158.758009,,,51,
5,h3,10.0.5.1,10.0.1.2,65082,443,sender,2970,1741296158.746339,,,2,
5,h1,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296158.775059,0,[],51,12437881.604589602
5,h3,10.0.1.1,10.0.5.1,50590,443,receiver,1500,1741296158.7667797,0,[],0,11365165.23361206
5,h3,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296158.7739143,0,[],51,12438401.9511316
5,h2,10.0.1.2,10.0.2.2,60169,443,receiver,1500,1741296158.7688673,0,[],10,11326879.501342773
5,h2,10.0.1.1,10.0.2.2,57978,443,receiver,1500,1741296158.7695723,0,[],0,11221747.716267914
5,h2,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296158.7745261,0,[],51,12438218.601624979
5,h4,10.0.5.1,10.0.1.2,65082,443,receiver,2970,1741296158.769645,0,[],2,12464823.706784237
5,h4,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296158.7748365,0,[],51,12438144.7480584
6,h1,10.0.1.1,10.0.2.2,57978,443,sender,1500,1741296326.288466,,,0,
6,h4,10.0.1.2,10.0.2.2,60169,443,sender,1500,1741296326.287833,,,10,
6,h1,10.0.1.1,10.0.5.1,50590,443,sender,1500,1741296326.298537,,,0,
6,h2,10.0.2.2,10.0.1.1,55081,443,sender,2970,1741296326.299784,,,51,
6,h3,10.0.5.1,10.0.1.2,65082,443,sender,2970,1741296326.29634,,,2,
6,h2,10.0.1.1,10.0.2.2,57978,443,receiver,1500,1741296326.3114629,0,[],0,11049825.9862264
6,h2,10.0.1.2,10.0.2.2,60169,443,receiver,1500,1741296326.3121371,0,[],10,11084282.39822386
6,h2,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296326.3168128,0,[],51,12527192.802942945
6,h3,10.0.1.1,10.0.5.1,50590,443,receiver,1500,1741296326.3122952,0,[],0,11207790.692647295
6,h3,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296326.3127227,0,[],51,12528739.794336192
6,h4,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296326.3131242,0,[],51,12528602.282206213
6,h4,10.0.5.1,10.0.1.2,65082,443,receiver,2970,1741296326.317853,0,[],2,12636830.83081487
6,h1,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296326.3131871,0,[],51,12528498.566110514
7,h1,10.0.1.1,10.0.2.2,57978,443,sender,1500,1741296493.889542,,,0,
7,h1,10.0.1.1,10.0.5.1,50590,443,sender,1500,1741296493.872922,,,0,
7,h4,10.0.1.2,10.0.2.2,60169,443,sender,1500,1741296493.889523,,,10,
7,h2,10.0.2.2,10.0.1.1,55081,443,sender,2970,1741296493.893115,,,51,
7,h3,10.0.5.1,10.0.1.2,65082,443,sender,2970,1741296493.888411,,,2,
7,h4,10.0.5.1,10.0.1.2,65082,443,receiver,2970,1741296493.90475,0,[],2,12081786.117168397
7,h4,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296493.919793,0,[],51,11977098.766802134
7,h3,10.0.1.1,10.0.5.1,50590,443,receiver,1500,1741296493.9003692,0,[],0,11146706.422170008
7,h3,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296493.919692,0,[],51,11977130.796772862
7,h1,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296493.9195943,0,[],51,11977146.771620424
7,h2,10.0.1.2,10.0.2.2,60169,443,receiver,1500,1741296493.8952816,0,[],10,11151051.044464111
7,h2,10.0.1.1,10.0.2.2,57978,443,receiver,1500,1741296493.8987956,0,[],0,11031887.690226248
7,h2,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296493.9191196,0,[],51,11977213.320105948
8,h1,10.0.1.1,10.0.2.2,57978,443,sender,1500,1741296661.469456,,,0,
8,h1,10.0.1.1,10.0.5.1,50590,443,sender,1500,1741296661.462858,,,0,
8,h4,10.0.1.2,10.0.2.2,60169,443,sender,1500,1741296661.469244,,,10,
8,h3,10.0.5.1,10.0.1.2,65082,443,sender,2970,1741296661.479151,,,2,
8,h2,10.0.2.2,10.0.1.1,55081,443,sender,2970,1741296661.471601,,,51,
8,h3,10.0.1.1,10.0.5.1,50590,443,receiver,1500,1741296661.481153,0,[],0,12256153.90141805
8,h3,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296661.4917247,0,[],51,12544183.939795705
8,h4,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296661.4913783,0,[],51,12544418.745972093
8,h4,10.0.5.1,10.0.1.2,65082,443,receiver,2970,1741296661.4983494,0,[],2,12443890.234436657
8,h1,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296661.4912057,0,[],51,12544289.26140372
8,h2,10.0.1.2,10.0.2.2,60169,443,receiver,1500,1741296661.4825323,0,[],10,12288262.526194265
8,h2,10.0.1.1,10.0.2.2,57978,443,receiver,1500,1741296661.490011,0,[],0,12157932.122548426
8,h2,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296661.4911737,0,[],51,12544913.885970715
9,h1,10.0.1.1,10.0.5.1,50590,443,sender,1500,1741296829.006773,,,0,
9,h1,10.0.1.1,10.0.2.2,57978,443,sender,1500,1741296829.009215,,,0,
9,h4,10.0.1.2,10.0.2.2,60169,443,sender,1500,1741296829.011864,,,10,
9,h3,10.0.5.1,10.0.1.2,65082,443,sender,2970,1741296829.007155,,,2,
9,h2,10.0.2.2,10.0.1.1,55081,443,sender,2970,1741296829.02042,,,51,
9,h2,10.0.1.1,10.0.2.2,57978,443,receiver,1500,1741296829.0290208,0,[],0,11168628.374735512
9,h2,10.0.1.2,10.0.2.2,60169,443,receiver,1500,1741296829.0362735,0,[],10,11246156.533559171
9,h2,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296829.038164,0,[],51,11949815.412964487
